model,training_size,run_id,seed,auroc,f1,accuracy,precision,recall
logistic_regression,80,0,42,0.604375,0.5333333333333333,0.5625,0.5714285714285714,0.5
logistic_regression,80,1,43,0.469375,0.4827586206896552,0.4375,0.44680851063829785,0.525
logistic_regression,80,2,44,0.7543749999999999,0.6060606060606061,0.675,0.7692307692307693,0.5
logistic_regression,80,3,45,0.545625,0.5333333333333333,0.5625,0.5714285714285714,0.5
logistic_regression,80,4,46,0.6612499999999999,0.5897435897435898,0.6,0.6052631578947368,0.575
logistic_regression,80,5,47,0.50375,0.48,0.5125,0.5142857142857142,0.45
logistic_regression,80,6,48,0.6018749999999999,0.5675675675675675,0.6,0.6176470588235294,0.525
logistic_regression,80,7,49,0.7331249999999999,0.6753246753246753,0.6875,0.7027027027027027,0.65
logistic_regression,80,8,50,0.7231249999999999,0.6923076923076923,0.7,0.7105263157894737,0.675
logistic_regression,80,9,51,0.67875,0.6233766233766234,0.6375,0.6486486486486487,0.6
logistic_regression,80,10,52,0.7631249999999999,0.684931506849315,0.7125,0.7575757575757576,0.625
logistic_regression,80,11,53,0.49812500000000004,0.5176470588235295,0.4875,0.4888888888888889,0.55
logistic_regression,80,12,54,0.640625,0.6373626373626373,0.5875,0.5686274509803921,0.725
logistic_regression,80,13,55,0.6000000000000001,0.5217391304347826,0.5875,0.6206896551724138,0.45
logistic_regression,80,14,56,0.575625,0.5974025974025974,0.6125,0.6216216216216216,0.575
logistic_regression,80,15,57,0.71625,0.6756756756756757,0.7,0.7352941176470589,0.625
logistic_regression,80,16,58,0.5875,0.5070422535211268,0.5625,0.5806451612903226,0.45
logistic_regression,80,17,59,0.7912500000000001,0.725,0.725,0.725,0.725
logistic_regression,80,18,60,0.70375,0.5915492957746479,0.6375,0.6774193548387096,0.525
logistic_regression,80,19,61,0.58875,0.5411764705882353,0.5125,0.5111111111111111,0.575
logistic_regression,120,0,1042,0.70625,0.6111111111111112,0.65,0.6875,0.55
logistic_regression,120,1,1043,0.5900000000000001,0.5,0.575,0.6071428571428571,0.425
logistic_regression,120,2,1044,0.6681250000000001,0.5915492957746479,0.6375,0.6774193548387096,0.525
logistic_regression,120,3,1045,0.63625,0.5526315789473685,0.575,0.5833333333333334,0.525
logistic_regression,120,4,1046,0.7174999999999999,0.6493506493506493,0.6625,0.6756756756756757,0.625
logistic_regression,120,5,1047,0.64375,0.5714285714285714,0.5875,0.5945945945945946,0.55
logistic_regression,120,6,1048,0.7399999999999999,0.64,0.6625,0.6857142857142857,0.6
logistic_regression,120,7,1049,0.549375,0.5135135135135135,0.55,0.5588235294117647,0.475
logistic_regression,120,8,1050,0.56375,0.5641025641025641,0.575,0.5789473684210527,0.55
logistic_regression,120,9,1051,0.59,0.5277777777777778,0.575,0.59375,0.475
logistic_regression,120,10,1052,0.62625,0.5352112676056338,0.5875,0.6129032258064516,0.475
