participant_id,split,binary_label,model,stage,expected_value,word_count,sentence_count,type_token_ratio,filler_count,filler_ratio,mean_clause_length,content_density,noun_ratio,verb_ratio,adjective_ratio,adverb_ratio,pronoun_ratio,determiner_ratio
PROCESS-2_rec__321,dev,0,random_forest,optimized,0.49508175135068117,-0.016216215076510707,0.02461001615054556,-0.010449141411445453,0.0057163029944058506,-0.007641091109617264,-0.003995267570026044,0.08131869156915855,0.001427841645636363,-0.006670130682032323,0.041971691032940725,-0.011367100263560132,-0.010944215160707245,0.019197189893311588
PROCESS-2_rec__322,dev,0,random_forest,optimized,0.49508175135068117,-0.03695400251377578,-0.03762427123294401,-0.01721249967802578,0.0033834327962904355,0.027450342413794716,0.0003684320888714865,-0.021682742283446715,0.0023876000116069915,-0.004860587326293171,-0.002562945050322014,0.0027366250129489344,-0.01114481914555654,-0.03207861938179121
PROCESS-2_rec__323,dev,0,random_forest,optimized,0.49508175135068117,0.0047471549510191835,0.019192982521344673,0.024146744725148894,0.002104933494756551,-0.014031989034992875,-0.004089117266667017,-0.0406780780587178,-0.004474407650122885,0.00781818798972381,0.00023383700479826075,-0.009335846841458988,-0.01190242909866356,-0.02903128858684795
PROCESS-2_rec__324,dev,0,random_forest,optimized,0.49508175135068117,0.05094506499386625,0.01875093391045084,0.03535095797677059,-0.006592601260817901,-0.06337825433165563,-0.004511223821791646,-0.01601491721965431,-0.004351623132970417,0.007530673231231049,0.01745734733540303,-0.00727244309578964,-0.009116262369207106,0.0841873071869486
PROCESS-2_rec__325,dev,0,random_forest,optimized,0.49508175135068117,0.03340540572795362,0.026621301554296223,0.019924426916913943,-0.00986688211274668,-0.06301518685329938,-0.0063853793583257355,-0.061225236048958326,6.229079081094824e-05,0.019654168220367866,-0.004227392173070257,-0.012732365643860249,-0.018279870168771594,-0.023155907791224308
PROCESS-2_rec__326,dev,1,random_forest,optimized,0.49508175135068117,-0.020075518160811042,-0.006211525191974943,-0.026839061916798527,0.0023851075671882426,0.01792820950395253,-0.007428137452043302,-0.08667768631670697,-0.009967871886765352,0.00304574144873186,0.00614421004700489,-0.006386659602649161,-0.02084004456151888,-0.0010077042115153746
PROCESS-2_rec__327,dev,0,random_forest,optimized,0.49508175135068117,0.0018794313557009446,0.01677986664861237,-0.014431418690583087,-0.007090582693290343,-0.03937576632371929,0.0006364276539170533,-0.037916788905113206,-0.0006926211592144683,-0.008638054105467745,-0.008028912009722262,-0.005869852744908712,-0.013426280848107127,-0.0029565128355898197
PROCESS-2_rec__328,dev,0,random_forest,optimized,0.49508175135068117,-0.01220182991160982,-0.006612005632996442,-0.012382542383274995,-0.006630180261727219,-0.05866508870400139,-0.0037124473537915037,-0.0796893297693714,-0.006027716415737814,-0.0073218767574144295,0.0030879663064115447,0.03550006423818559,-0.011874785292275192,-0.015404562608564447
PROCESS-2_rec__329,dev,1,random_forest,optimized,0.49508175135068117,0.05421152974511642,0.024382445836745318,0.0304709107211238,-0.0024696655702791757,-0.05133918704526877,0.006283503407648823,0.06347878947142817,-0.0014453681363011128,0.00021987366206303706,-0.012724708781261142,0.02480761835420708,0.04572049050708302,0.0010267373475653584
PROCESS-2_rec__330,dev,0,random_forest,optimized,0.49508175135068117,-0.006222267944613122,0.006190062332716479,-0.002851176028998452,-0.009899364879984204,-0.06488454736820132,0.009158739812519343,-0.08234937423821975,-0.00014798662548855645,-0.003995601269270992,-0.004677403953810427,-0.008025308334108559,-0.007728286083038256,-0.0017966080810219865
PROCESS-2_rec__331,dev,0,random_forest,optimized,0.49508175135068117,-0.04301378665044467,-0.046202613992609255,-0.024656068346848768,0.0017537717390223406,0.01859340087426972,0.0020977101113385287,-0.06657577186862909,-0.00894788743222307,0.013241499027135433,-0.030503910547686246,-0.0019200606926096952,-0.017511573630472413,-0.008164347597776213
PROCESS-2_rec__332,dev,1,random_forest,optimized,0.49508175135068117,-0.027909030142382107,-0.02802842015895294,-0.015084845687961207,-0.005122138263341185,0.02010252290234348,-0.0006905578809528379,0.06850823987795593,0.007104548863608216,0.01386281507988315,0.00470470343987472,-0.017404449666100844,0.06288697109761415,0.006873816108272876
PROCESS-2_rec__333,dev,0,random_forest,optimized,0.49508175135068117,-0.03365137271299318,-0.0029948992444406033,-0.02540660236252734,0.0024202987449461946,0.005926939687233243,0.003214505012074369,0.010189424298441736,-0.005157495145940629,0.006433555982002872,0.033787348284768086,-0.01162927983168629,-0.014447012801028905,0.015193438653077464
PROCESS-2_rec__334,dev,1,random_forest,optimized,0.49508175135068117,0.034041180397889545,0.030355347149852604,0.03804797417324153,0.001998421795778995,0.016336648463839084,0.0016929990738935884,-0.04165630630463056,0.002647166929928062,-0.0061331130205144295,0.03450801143064382,-0.004860664720799832,-0.003610815482970793,-0.014345585879455029
